id,uri,prefLabel,altLabel,definition,broader,narrower,isTopConcept
T96-410,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-410,performing arts buildings,lieu de spectacle,"Édifice affecté aux représentations théâtrales, cinématographiques, chorégraphiques, musicales.",édifice et aménagement de culture recherche sport ou loisir,amphitheaters (builts works) | auditorium | cabaret | cinéma | circuses | opéra | concert halls | theaters,False
T96-1045,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1045,ouvrage d'art,édicule du génie civil | ouvrage du génie civil,"Construction, dont la conception et la réalisation ont fait intervenir des connaissances en ingénierie, pouvant entraîner l'établissement d'une voie de communication, d'un dispositif de retenue des eaux, etc.",génie civil,appontement | ascenseur indépendant | aménagement de bac | barrage | bassin de port | berge aménagée | borne | cale | channels | déversoir de fond | déversoir de superficie | digue | écluse | égout | élévateur à bateau | entrée de port | éolienne | épi | fords | jetée | ouvrage lié à l'alimentation en eau | grade crossings | passage souterrain | pente d'eau | piste d'aviation | bridges (builtworks) | poste de commande | quai | broadcasting stations | Cable railroads | sémaphore | station de télégraphe | electric substations | tunnel | porte de garde,False
T96-188,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-188,arc monumental,arc commémoratif | arc funéraire,"Monument formé d'une ou plusieurs arches. À l'époque moderne, l'arc monumental peut en outre faire fonction de porte de ville.",commemorative monument 1,arc de triomphe,False
T96-187,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-187,commemorative monument 1,édicule votif,"au sens propre, édicule commémoratif ou votif.",architecture monumentale commémorative funéraire et votive,arc monumental | commemorative monument 2 | obelisco | pitture rupestri + scultura preistorica,False
T96-649,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-649,parties commerciales,partie d'édifice commercial,Parties d'édifice aménagées pour accueillir une ou plusieurs activités commerciales.,architecture artisanale commerciale et tertiaire,salle des coffres | boutique | devanture,False
T96-263,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-263,édifice fiscal,hôtel des impôts | perception,Édifice de l'administration chargée du calcul et du recouvrement des impôts directs.,architecture fiscale ou financière,bureau de douane | bureau d'octroi | grange aux dîmes | grenier à sel | maison aux dîmes,False
T96-675,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-675,usine,édifice industriel,"Établissement industriel équipé de machines et destiné soit à la transformation des matières premières ou semi-ouvrées en produits finis, soit à la production d'énergie.",architecture industrielle,mills | usine génératrice d'énergie | usine d'extraction | usine métallurgique | usine de construction mécanique | usine de petite métallurgie | usine de mécanique de précision | usine de construction électrique | usine de construction électronique | usine de céramique | verrerie | usine de fabrication de matériaux de construction | usine de produits chimiques | usine de produits agro-alimentaires | usine textile | usine de peausserie | usine d'habillement | usine liée au travail du bois | usine de papeterie | usine d'impression sur papier,False
T96-467,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-467,ouvrage militaire,édicule militaire,"Construction utilisée à des fins militaires (fortification, observation, etc.).  ",architecture militaire,fortification elements | poste d'observation | launching ramps,False
T96-86,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-86,édifice religieux,sanctuaire,"Construction ou groupe de constructions où se réunissent les pratiquants d'une religion pour prier, célébrer un culte, participer à un rituel, etc.",architecture religieuse,caverna decorata | lieu de prière | moschea | sinagoga | ancient + temples | Buddhist temple | Hindu temple | bains rituels | christian + religious buildings,False
T96-310,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-310,édifice scolaire,édifice d'enseignement,"Construction ou groupe de constructions abritant des activités scolaires, principalement les activités d'enseignement.",architecture scolaire,école | édifice d'enseignement supérieur,False
T96-364,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-364,établissement de tir,stand de tir,Espace aménagé où l'on pratique le tir sportif à la cible.,édifice sportif,jeu de l'arquebuse | archery ranges,False
T96-292,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-292,hôpital,centre hospitalier | hôtel-Dieu,"Établissement dans lequel sont associés des services de médecine et de chirurgie générales à des services relevant des principales spécialités médico-chirurgicales ainsi qu'à des laboratoires. Quelle que soit sa taille, il abrite généralement une morgue et un lieu de prière (chapelle, etc.). Les différents services peuvent être répartis dans un ensemble de bâtiments ou sous un toit unique.  ",édifice hospitalier,asile d'aliénés | hôpital d'isolement | maternité,False
T96-277,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-277,établissement de bienfaisance,bureau de bienfaisance | établissement de charité | maison de charité,Etablissement d'assistance privé ou public.,édifice d'assistance ou de protection sociale,atelier de charité | almshouses | hôpital général | orphanages | ouvroir,False
T96-1260,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1260,cour,cour d'honneur,"Terrain délimité par des bâtiments ou des corps de bâtiment. La cour ouverte n'est pas délimitée sur un de ses côtés, ou seulement délimitée par un élément de clôture qui ne fait pas obstacle à la vue (fossé, grille, etc.). La cour peut être fermée.",partie ou élément commun à tous les types d'architecture et aux espaces aménagés,atrium,False
T96-1302,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1302,élévation,élévation extérieure | façade,Face verticale d'un bâtiment ou d'un corps de bâtiment.,partie ou élément commun à tous les types d'architecture et aux espaces aménagés,balcon | élévation intérieure | oriel,False
T96-1049,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1049,barrage,barrage fixe,"Ouvrage d'art construit en travers d'un cours d’eau et de sa vallée et destiné à réguler son cours ou à stocker de l'eau pour différents usages : irrigation, industrie, hydroélectricité, pisciculture, réserve d'eau potable, etc.",ouvrage d'art,barrage mobile,False
T96-90,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-90,chiesa,église catholique | église luthérienne | église orthodoxe,"Édifice consacré au culte de la religion chrétienne, faisant ou ayant fait l'objet d'une desserte régulière.",christian + religious buildings,basilica | cathedral | cappella 1 | collégiale | chiesa parrocchiale | chiesa protestante,False
T96-468,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-468,fortification elements,édicule fortifié,Construction fortifiée généralement isolée ou incluse dans un édifice ou un ensemble fortifié.  ,ouvrage militaire,bastillon | bastion | batterie d'artillerie | casemate | chemin de ronde | courtine | donjon | double caponnière | defensive walls | éperon barré | fossé | hourd | motte | mur défensif | ouvrage d'entrée | outworks | ouvrage Maginot | drawbridges | position fortifiée | posterns | réduit,False
T96-123,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-123,bâtiment conventuel,partie conventuelle,"au sein d'un établissement conventuel, bâtiment pouvant regrouper le dortoir commun ou les cellules, le chauffoir, la salle capitulaire, le réfectoire, la grande salle de travail des moines, etc.",partie d'édifice religieux,chiostro | dormitories (rooms) | cloister + lavaboes | réfectoire | chapter house,False
T96-1257,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1257,charpente,pan-de-bois,"Ouvrage formant le comble et portant le matériau de couverture, le plus souvent des pièces de bois ou de fer assemblées. Désigne également les éléments d'une structure porteuse lorsqu'elle n'est pas en maçonnerie.",partie ou élément commun à tous les types d'architecture et aux espaces aménagés,plancher | charpente de toit,False
T96-1019,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1019,bief,bief de navigation,"Fraction d'une voie navigable entre deux chutes (entre deux écluses à sas, entre une écluse à sas et un barrage, etc.).",voie navigable,gare d'eau,False
T96-1057,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1057,borne,borne de juridiction | borne de propriété | borne frontalière | borne frontière | borne géodésique | borne kilométrique,"Pierre ou autre marque signalant la limite d’une propriété, d’un territoire, indiquant les distances ou servant de repère.",ouvrage d'art,borne routière | montjoie,False
T96-820,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-820,usine de produits agro-alimentaires,usine de produits alimentaires,"Usine où l'on transforme les produits d'origine animale ou végétale, issus de l'agriculture, en denrées alimentaires destinées à la consommation humaine et animale.",usine,brasserie | brûlerie | chocolaterie | cidrerie | confiserie | conserverie | distillerie | établissement vinicole | féculerie | fromagerie industrielle | huilerie | laiterie industrielle | minoterie | moulin à farine | moulin à huile | sucrerie | usine de boissons non alcoolisées | usine de boulangerie | usine frigorifique | usine de mise en bouteilles | usine de moutarde | usine de pâtes alimentaires | usine de préparation d'un produit agroalimentaire | usine de produits pour l'alimentation animale | usine de tabac | vinaigrerie,False
T96-1080,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1080,fontaine,fontaine monumentale,"aménagement monumental d'une arrivée d'eau dans l’espace public, une cour, un jardin, etc. La fontaine comprend généralement un bassin d’ornement ou fait partie du bassin.",ouvrage lié à l'alimentation en eau,buffet d'eau,False
T96-181,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-181,barrow,barrow | dolmen sous tumulus | montissel,Tertre artificiel recouvrant une ou plusieurs tombes. Son entrée est quelquefois précédée par une aire semi-circulaire délimitée par deux murs ou deux rangées de pierres dressées appelées antennes.,megalite,burial cairn,False
T96-44,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-44,carrefour,croisement,Lieu du croisement de plusieurs voies.,espace libre,carrefour giratoire | carrefour en demi-étoile | échangeur | carrefour en étoile | carrefour en patte d'oie,False
T96-43,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-43,espace libre,voirie,"aménagement hors sol destiné notamment à la circulation, à la déambulation, parfois à des fonctions de détente ou d'usage privatif.",planning,carrefour | espace public à usage privé | piazZa | ruelle d'écoulement | road 2,False
T96-444,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-444,city walls,enceinte de ville | rempart de ville,Ensemble des ouvrages qui concourent à la défense d'une agglomération.,fortification,ceinture de forts,False
T96-1022,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1022,édifice du génie civil,ponts et chaussées,"Construction ou groupe de constructions abritant des activités relevant du génie civil (transports publics, distribution d'eau ou d'énergie, etc.).",génie civil,central téléphonique | bus depots | dépôt de tramways | air and space transportation buildings | établissement des eaux | établissement portuaire | gare | bus stations | launch complexes | lighthouses | poste de secours | remise ferroviaire | bus shelters | station de traitement des déchets,False
T96-828,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-828,établissement vinicole,coopérative vinicole,"Établissement où l'on produit du vin, suivant différentes opérations de vinification (traitement mécanique de la vendange, fermentation, conservation, etc.). Il comprend généralement un cuvage, un laboratoire, un magasin industriel, etc.",usine de produits agro-alimentaires,établissement de vins spéciaux,False
T96-93,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-93,cappella 1,église dite chapelle,Petite église isolée sans fonction paroissiale.,chiesa,chapelle des morts,False
T96-515,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-515,demeure,habitation,"Édifice à usage d'habitation, rural ou urbain, formé d'un logis souvent accompagné de communs et de dépendances. Suivant ses dimensions, sa localisation, la qualité ou l'activité de ses habitants, la demeure peut porter des dénominations différentes (palais, hôtel, château, manoir, etc.), comme des appellations régionales (mas, bastide, etc.).",édifice domestique,castles & châteaux | hôtel | apartment houses | immeuble à logements | houses | maison forte | manoir | palaces | presbytère | hunting lodges | villa antique,False
T96-141,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-141,choir screen,chancel | clôture de chœur,"Ouvrage séparant le chœur liturgique des autres parties de l'église. Dans les églises paléochrétiennes, cette clôture se nomme chancel.",partie d'église,iconostase | chancel screens,False
T96-584,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-584,dovecotes,fuie,Construction servant d'abri pour les pigeons.,farm building,colombier,False
T96-1141,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1141,fabrique de jardin,fabrique,"Petite construction aménagée pour le promeneur, intégrée à la composition d'un jardin ou d'un parc et présentant un caractère ornemental. Toutes les formes architecturales peuvent être mises en œuvre : pavillon, rotonde, tholos, etc.",construction de jardin,colonnade de jardin | fabrique de treillage | fabrique en belvédère | grotte artificielle | kiosque | pergola | portique de jardin | rocher artificiel | rotonde de jardin | artificial ruins | temple de jardin | tente de jardin | théâtre de jardin | tour de jardin,False
T96-320,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-320,art schools,école artistique,"École professionnelle spécialisée dans l'enseignement d'un art : architecture, peinture, musique, danse, etc.",école professionnelle,conservatoire | école de danse,False
T96-115,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-115,croce monumentale,croix de mission | croix votive,Croix isolée formant monument.,christian + religious structures,croix de chemin | cemetery + crosses,False
T96-1074,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1074,jetée,brise-lames | môle,"Ouvrage, en maçonnerie ou en charpente, qui s’avance dans la mer, un lac ou un cours d’eau pour protéger un port ou une plage contre la violence des lames ou pour diriger un courant. La jetée est généralement orientée en travers du vent régnant. La signalisation optique se trouve le plus souvent à la tête de la jetée.",ouvrage d'art,estacade,False
T96-289,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-289,établissement médical,centre médical | institut médical,Centre de consultation et de soins médicaux.,édifice hospitalier,dispensaire | infirmaries,False
T96-1066,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1066,écluse,écluse à sas,"Sur une voie navigable, ouvrage d'art formé de deux portes, entre lesquelles se trouve un sas ou petit bief de la longueur d'un bateau et servant à rattraper la différence de niveau entre cours supérieur et cours inférieur.",ouvrage d'art,échelle d'écluses,False
T96-318,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-318,école professionnelle,école technique | lycée technique,"École dont l'enseignement vise à préparer à un métier particulier. Elle abrite généralement des salles de cours, des ateliers, etc. adaptés aux matières enseignées.",école,agriculture schools | art schools | école militaire,False
T96-190,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-190,commemorative monument 2,mausolée urbain,"Édicule élevé en l’honneur d’un personnage célèbre mort, d'événements historiques majeurs, etc., placé dans un espace public.",commemorative monument 1,monument aux morts | trofeo,False
T96-207,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-207,administration buildings,service administratif,Édifice affecté à un service administratif de l'État ou d'une collectivité.,édifice de l'administration ou de la vie publique,intendance | ministère | préfecture,False
T96-1032,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1032,gare,gare de chemin de fer,"Édifice ou édicule où s'arrêtent les trains pour l'embarquement, le débarquement et la répartition des voyageurs et des marchandises. Outre un bâtiment de voyageurs, il peut abriter quelques commerces, des bâtiments de stockage et de réparation.",édifice du génie civil,gare de transbordement | halte ferroviaire | station de métro | station de tramway,False
T96-384,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-384,établissement de danse,dancing | salle de danse,Établissement public ou privé où l'on peut pratiquer la danse à titre de loisir.,édifice et aménagement de culture recherche sport ou loisir,ballrooms,False
T96-408,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-408,community centers,foyer socio-culturel | salle polyvalente,"Édifice ou partie d'édifice où sont organisées des réjouissances ou activités diverses pour la population d'une localité, d'un quartier ou d'une communauté.",édifice et aménagement de culture recherche sport ou loisir,parish houses,False
T96-288,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-288,édifice hospitalier,établissement hospitalier,Établissement destiné à soigner les malades.,édifice hospitalier d'assistance ou de protection sociale,établissement médical | hôpital,False
T96-245,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-245,courthouse,bailliage | justice de paix | officialité | présidial | prévôté | sénéchaussée | sergenterie,Édifice où l'on rend la justice.,édifice judiciaire pénitentiaire ou de police,palais de justice | parlement,False
T96-1286,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1286,escalier,cage d'escalier | degré | noyau d'escalier,"Ouvrage formé de marches et permettant de passer d'un plan à un autre, d'un étage à un autre, dans ou à l'extérieur d'un bâtiment. Il est généralement contenu dans une cage.",éléments de circulation,escalier d'honneur | escalier de service | escalier indépendant | escalators | perron,False
T96-1239,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-1239,ensemble à fonction non identifiée,ensemble non identifié,Ensemble constitué d'édifices ou édicules dont la fonction d'origine est inconnue.,partie ou élément commun à tous les types d'architecture et aux espaces aménagés,archeological sites,False
T96-443,http://data.culture.fr/thesaurus/resource/ark:/67717/67717/T96-443,fortification,ensemble fortifié,Ensemble formé d'édifices ou d'ouvrages défensifs.,ensemble militaire,city walls | coastal fortifications & field fortifications | oppida | place forte,False
